,#Karmn,Name
870,J09023+177,2M J09022307+1746326
871,J09028+680,LP 060-179
872,J09033+056,NLTT 20861
873,J09037+520,G 194-052
874,J09038+129,LP 486-043
875,J09040-159,2M J09040555-1555184
876,J09050+028,LP 546-48
877,J09057+186,LP 426-056
878,J09062+128,LP 486-049
879,J09070-221,LP 845-023
880,J09087+665,G 234-056
881,J09091+227,J0909+2247
882,J09093+401,GJ 1121
883,J09095+328,BD+33 1814 AB
884,J09096+067,2E 2104
885,J09099+004,G 046-024
886,J09115+126,LP 487-010
887,J09115+466,MCC 265
888,J09120+279,G 047-028
889,J09133+688,G 234-057
890,J09140+196,LP 427-016
891,J09143+526,HD 79210
892,J09144+526,HD 79211
893,J09156-105,G 161-007
894,J09160+293,G 047-031
895,J09161+018,RX J0916.1+0153
896,J09163-186,LP 787-052
897,J09165+841,G 253-021
898,J09168+248,2M J09165078+2448559
899,J09177+462,RX J0917.7+4612
900,J09177+584,LP 090-134
901,J09187+267,G 047-033 A
902,J09193+385N,GJ 1122 B
903,J09193+385S,GJ 1122 A
904,J09193+620,LP 091-014 AB
905,J09200+308,TYC 2493-1386-1
906,J09201+037,1RXS J092010.8+034731
907,J09209+033,NLTT 21531
908,J09213+731,LP 036-181
909,J09218+435,G 115-071 AB
910,J09218-023,RAVE J092148.1-021943
911,J09228+467,G 115-072
912,J09231+223,BD+22 2086B
913,J09238+001,LP 607-039
914,J09248+306,LSPM J0924+3041
915,J09256+634,G 235-025
916,J09275+506,G 195-027
917,J09288-073,Ross 439
918,J09289-073,GJ 347 B
919,J09291+259,NLTT 21866
920,J09300+396,LP 211-012
921,J09302+265,RX J0930.2+2630 1
922,J09307+003,GJ 1125
923,J09308+024,1RXS J093051.2+0222741
924,J09313-134,Ross 440
925,J09315+202,Ross 84
926,J09319+363,BD+36 1970
927,J09328+269,DX Leo B
928,J09352+612,StKM 1-785
929,J09360-061,G 161-051
930,J09360-216,GJ 357
931,J09362+375,TYC 2992-428-1
932,J09370+405,LP 211-022
933,J09394+146,NLTT 22280
934,J09394+317,G 117-034
935,J09410+220,Ross 92
936,J09411+132,Ross 85
937,J09423+559,GJ 363
938,J09425+700,GJ 360
939,J09425-192,LP 788-024
940,J09428+700,GJ 362
941,J09430+237,LP 370-035
942,J09439+269,Ross 93
943,J09447-182,GJ 1129
944,J09449-123,G 161-071
945,J09461-044,G 161-074
946,J09468+760,BD+76 3952
947,J09473+263,BD+26 2004
948,J09475+129,LP 488-037
949,J09488+156,G 043-002
950,J09506-138,LP 728-070
951,J09511-123,BD-11 2741
952,J09526-156,LP 728-071
953,J09527+554,G 195-043
954,J09531-036,GJ 372
955,J09535+507,LP 126-073
956,J09539+209,NLTT 22870
957,J09557+353,G 116-065
958,J09561+627,BD+63 869
959,J09564+226,NLTT 22978
960,J09579+118,NLTT 23051
961,J09587+555,G 196-001
962,J09589+059,NLTT 23096
963,J09593+438E,G 116-073 B
964,J09593+438W,G 116-072 A
965,J09597+472,G 146-005
966,J09597+721,Pul -3 620285
967,J10004+272,GJ 375.2
968,J10007+323,Wolf 335
969,J10020+697,LP 037-057
970,J10023+480,BD+48 1829
971,J10027+149,G 043-023
972,J10028+484,G 195-055
973,J10035+059,NLTT 23292
974,J10040+187,TYC 1415-1123-1
975,J10043+503,G 196-003A
976,J10067+417,G 116-077
977,J10068-127,2M J10065210-1246543
978,J10069+126,LP 489-035
979,J10079+692,LP 037-075
980,J10087+027,LP 549-023
981,J10094+512,LP 127-132
982,J10094+544,2M J10092678+5424247
983,J10117+353,G 118-037
984,J10120-026,GJ 381 AB
985,J10122-037,AN Sex
986,J10125+570,LP 092-048
987,J10130+233,G 054-018
988,J10133+467,LP 167-017
989,J10143+210,DK Leo
990,J10148+213,G 054-019
991,J10151+314,G 118-043
992,J10155-164,WT 1774
993,J10158+174,LSPM J1015+1729
994,J10167-119,GJ 386
995,J10182-204,NLTT 23956
996,J10185-117,LP 729-054
997,J10196+198,AD Leo
998,J10200+289,G 118-051
999,J10206+492,G 196-019
1000,J10238+438,LP 212-062
1001,J10240+366,HAT 182-00646
1002,J10243+119,StKM 1-852
1003,J10251-102,BD-09 3070
1004,J10255+263,G 054-026
1005,J10260+504E,LP 127-372
1006,J10260+504W,LP 127-371
1007,J10273+799,2M J10272334+7959511
1008,J10278+028,G 055-021
1009,J10284+482,G 146-035
1010,J10286+322,G 118-061
1011,J10289+008,BD+01 2447
1012,J10303+328,G 118-066
1013,J10315+570,BD+57 1274 B
1014,J10320+033,2M J10320226+0318547
1015,J10345+463,LP 167-064
1016,J10350-094,LP 670-017
1017,J10354+694,LP 037-179
1018,J10359+288,RX J1035.9+2853
1019,J10360+051,RY Sex
1020,J10364+415,G 146-048
1021,J10367+153,RX J1036.7+1521
1022,J10368+509,LP 127-502
1023,J10379+127,LP 490-042
1024,J10384+485,LP 167-071
1025,J10385+354,LP 262-400
1026,J10389+250,StKM 1-873
1027,J10396-069,GJ 399
1028,J10403+015,TYC 254-88-1
1029,J10416+376,GJ 1134
1030,J10430-092,WT 1827 AB
1031,J10443+124,LP 490-063
1032,J10448+324,LP 316-604 A
1033,J10453+385,BD+39 2376
1034,J10456-191,BD-18 3019
1035,J10460+096,G 044-035
1036,J10472+404,LP 213-067
1037,J10474+025,Ross 895
1038,J10482-113,LP 731-058
1039,J10485+191,LP 431-069
1040,J10497+355,GJ 1138 AB
1041,J10504+331,G 119-037
1042,J10506+517,LP 128-032
1043,J10508+068,EE Leo
1044,J10513+361,LP 263-035
1045,J10520+005,G 045-011 ABC
1046,J10520+139,GJ 403
1047,J10522+059,NLTT 25568
1048,J10546-073,LP 671-008
1049,J10555-093,LP 671-010
1050,J10563+042,2M J10562225+0415459
1051,J10564+070,CN Leo
1052,J10576+695,BD+70 639
1053,J10584-107,LP 731-076
1054,J11000+228,Ross 104
1055,J11003+728,LP 037-257
1056,J11008+120,2E 2371
1057,J11013+030,G 045-027
1058,J11014+568,StKM 1-902
1059,J11023+165E,LP 431-071
1060,J11023+165W,LP 431-070
1061,J11026+219,DS Leo
1062,J11030+037,Wolf 360
1063,J11031+152,LP 431-050
1064,J11031+366,LP 263-064
1065,J11033+359,Lalande 21185
1066,J11036+136,LP 491-051
1067,J11042+400,LP 214-026
1068,J11054+435,BD+44 2051A
1069,J11055+435,WX UMa
1070,J11055+450,G 176-008
1071,J11057+102,LP 491-060
1072,J11075+437,HAT 141-00828
1073,J11081-052,GJ 1142 A
1074,J11108+479,G 176-015
1075,J11110+304,HD 97101 B
1076,J11113+434,GJ 414.1 AB
1077,J11118+335,CW UMa
1078,J11126+189,StKM 1-928
1079,J11131+002,BD+01 2535
1080,J11151+734,HD 97584B
1081,J11152+194,G 056-026
1082,J11152-181,LP 792-009
1083,J11154+410,G 122-008
1084,J11159+553,StKM 1-932
1085,J11195+466,LP 169-022
1086,J11200+658,SZ UMa AB
1087,J11201-104,LP 733-099
1088,J11214-204,BD-19 3242B
1089,J11216+061,GJ 1146
1090,J11231+258,LP 374-039
1091,J11233+448,G 122-020
1092,J11237+085,Wolf 386
1093,J11238+106,BPM 87356
1094,J11239-183,LP 792-020
1095,J11240+381,1RXS J112405.0+380809
1096,J11247+675,Ross 448
1097,J11249+024,StKM 1-941
1098,J11254+782,G 253-050
1099,J11266+379,HAT 183-00276
1100,J11276+039,BD+04 2470
1101,J11289+101,Wolf 398
1102,J11302+076,K2-18
1103,J11306-080,LP 672-042
1104,J11307+549,StKM 1-950
1105,J11311-149,LP 732-035
1106,J11315+022,LP 552-068
1107,J11317+226,BD+23 2359
1108,J11351-056,LP 673-013
1109,J11355+389,G 122-034
1110,J11376+587,Ross 112
1111,J11404+770,G 254-027
1112,J11417+427,Ross 1003
1113,J11420+147,Ross 115
1114,J11421+267,Ross 905
1115,J11433+253,LTT 13220
1116,J11451+183,LP 433-047
1117,J11467-140,GJ 443
1118,J11470+700,G 236-081
1119,J11474+667,1RXS J114728.8+664405
1120,J11476+002,LP 613-049 A
1121,J11476+786,GJ 445
1122,J11477+008,FI Vir
1123,J11483-112,LP 733-024
1124,J11485+076,G 010-052
1125,J11496+220,BPM 87650
1126,J11509+483,GJ 1151
1127,J11511+352,BD+36 2219
1128,J11519+075,RX J1151.9+0731
1129,J11521+039,StM 162
1130,J11529+244,G 121-028
1131,J11532-073,GJ 452
1132,J11533+430,TYC 3016-577-1
1133,J11538+069,LP 553-059
1134,J11541+098,Ross 119
1135,J11549-021,2M J11545693-0206091
1136,J11551+009,Ross 129
1137,J11557-189,LP 793-044
1138,J11557-227,LP 851-346
1139,J11575+118,Ross 122
1140,J11582+425,G 122-058
1141,J11585+595,G 197-038
1142,J11589+426,G 122-060
1143,J12006-138,LP 734-011 A
1144,J12016-122,LTT 4484
1145,J12023+285,GJ 455
1146,J12054+695,Ross 689
1147,J12057+784,LSPM J1205+7825
1148,J12063-132,StM 164
1149,J12088+303,1RXS J120847.7+302120
1150,J12093+210,StM 165
1151,J12100-150,LP 734-032
1152,J12104-131,LP 734-034
1153,J12109+410,G 123-008
1154,J12111-199,LTT 4562
1155,J12112-199,LP 794-031
1156,J12121+488,G 122-074
1157,J12122+714,LP 039-066
1158,J12123+544N,BD+55 1519 B
1159,J12123+544S,HD 238090
1160,J12124+121,2M J12122605+1211381
1161,J12124+396,G 123-013 AB
1162,J12133+166,IV Com
1163,J12142+006,GJ 1154 A
1164,J12144+245,G 059-007
1165,J12151+487,BD+49 2126
1166,J12154+391,G 123-016
1167,J12156+526,StKM 2-809
1168,J12162+508,RX J1216.2+5053
1169,J12168+029,GJ 1155 AB
1170,J12168+248,2M J12165262+2451052
1171,J12169+311,Sand 39
1172,J12189+111,GL Vir
1173,J12191+318,LP 320-626
1174,J12194+283,Wolf 408
1175,J12198+527,StKM 1-1007
1176,J12199+364,G 123-036
1177,J12204+005,BD+01 2684 AB
1178,J12214+306E,Sand 57 B
1179,J12214+306W,Sand 58 A
1180,J12217+682,G 237-061
1181,J12223+251,Wolf 409
1182,J12225+123,BD+28 2110
1183,J12228-040,G 013-033
1184,J12230+640,Ross 690
1185,J12235+279,Wolf 411
1186,J12235+671,G 237-064 AB
1187,J12238+125,HD 107888
1188,J12248-182,Ross 695
1189,J12269+270,CX Com
1190,J12274+374,G 148-061
1191,J12277-032,LP 615-149
1192,J12288-106N,Ross 948 A
1193,J12288-106S,Ross 948 B
1194,J12289+084,Wolf 414 AB
1195,J12290+417,G 123-035
1196,J12292+535,GJ 1159 A
1197,J12294+229,LP 377-100
1198,J12299-054E,LP 675-077
1199,J12299-054W,LP 675-076
1200,J12312+086,BD+09 2636
1201,J12323+315,LP 321-035
1202,J12324+203,StKM 1-1021
1203,J12327+682,LP 039-249
1204,J12332+090,FL Vir AB
1205,J12349+322,2M J12345401+3214279
1206,J12350+098,GJ 476
1207,J12363-043,LP 675-019
1208,J12364+352,G 123-045
1209,J12368-019,2M J12365214-0159007
1210,J12373-208,LP 795-038
1211,J12387-043,GJ 1162
1212,J12388+116,Wolf 433
1213,J12390+470,G 123-049
1214,J12397+255,LP 377-036
1215,J12416+482,G 198-071A
1216,J12417+567,RX J1241.7+5645
1217,J12428+418,G 123-055
1218,J12436+251,Sand 128
1219,J12440-111,LP 735-029
1220,J12470+466,Ross 991
1221,J12471-035,LP 616-013
1222,J12479+097,Wolf 437
1223,J12481+472,G 123-061
1224,J12485+495,RX J1248.5+4933
1225,J12490+661,DP Dra AabB
1226,J12495+094,Wolf 439
1227,J12505+269,LTT 13677
1228,J12508-213,DENIS J125052.6-212113
1229,J12513+221,GJ 1166A
1230,J12576+352E,BF CVn
1231,J12576+352W,BD+36 2322B
1232,J12583+405,LP 041-165
1233,J12594+077,LP 556-064
1234,J13000-056,Ross 972
1235,J13005+056,FN Vir
1236,J13007+123,DT Vir AB
1237,J13019+335,G 164-038
1238,J13027+415,G 123-084
1239,J13047+559,GJ 497
1240,J13054+371,G 164-042
1241,J13068+308,Sand 214
1242,J13084+169,MCC 686
1243,J13088+163,LP 437-012
1244,J13089+490,StKM 1-1049
1245,J13095+289,GJ 1167A
1246,J13102+477,G 177-025
1247,J13113+285,LP 322-936
1248,J13118+253,LP 378-688
1249,J13130+201,GJ 1168
1250,J13140+038,G 062-018
1251,J13142+792,LP 021-095
1252,J13143+133,NLTT 33370 AB
1253,J13165+278,GJ 1169
1254,J13167-123,LP 737-014
1255,J13168+170,HD 115404B
1256,J13168+231,LP 378-924
1257,J13179+362,G 164-062
1258,J13180+022,G 062-028
1259,J13182+733,2M J13181352+7322073
1260,J13195+351E,BD+35 2436B
1261,J13195+351W,BD+35 2436Aab
1262,J13196+333,Ross 1007
1263,J13197+477,BD+48 2108Aab
1264,J13209+342,BD+35 2439
1265,J13215+035,LSPM J1321+0332
1266,J13215+037,LP 557-059
1267,J13229+244,Ross 1020
1268,J13235+292,BD+29 2405
1269,J13239+694,LP 040-109
1270,J13247-050,G 014-052
1271,J13251-114,2M J13251172-1126368
1272,J13254+377,BD+38 2445
1273,J13260+275,GUVVJ132602.6+273502.3
1274,J13282+300,BD+30 2400
1275,J13283-023E,Ross 486B
1276,J13283-023W,Ross 486A
1277,J13293+114,GJ 513
1278,J13294-143,1RXS J132923.9-142206
1279,J13299+102,BD+11 2576
1280,J13300-087,Wolf 485B
1281,J13305+191,GJ 1171
1282,J13317+292,DG CVn AB
1283,J13318+233,G 150-007
1284,J13319+311,BD+31 2500
1285,J13326+309,LP 323-169
1286,J13327+168,VW Com AB
1287,J13335+704,2M J13333371+7029412
1288,J13343+046,BD+05 2767
1289,J13348+201,LP 379-062
1290,J13348+745,LP 021-568
1291,J13358+146,G 150-017
1292,J13369+229,Ross 1021
1293,J13376+481,BD+48 2138C
1294,J13378+481,BD+48 2138
1295,J13386+258,Ross 1022
1296,J13386-115,2M J13384087-1132077
1297,J13388-022,Ross 488
1298,J13394+461,BD+46 1889
1299,J13401+437,Ross 1026
1300,J13413-091,2M J13412122-0907171
1301,J13414+489,StM 186
1302,J13415+148,LTT 18344
1303,J13417+582,StM 187
1304,J13421-160,LP 798-025
1305,J13427+332,Ross1015
1306,J13430+090,G 063-050
1307,J13434+111,TYC 896-760-1
1308,J13444+516,Ross 492 AB
1309,J13445+249,LP 379-098
1310,J13450+176,BD+18 2776
1311,J13455+609,MCC 699
1312,J13457+148,HD 119850
1313,J13458-179,LP 798-034
1314,J13477+214,BD+22 2632
1315,J13481-137,LP 738-014
1316,J13482+236,GJ 1179 A
1317,J13485+563,Ross 493
1318,J13488+041,Wolf 1494
1319,J13490+026,Wolf 1495
1320,J13503-216,LP 798-041
1321,J13507-216,LP 798-044
1322,J13508+367,Ross 1019
1323,J13518+127,RX J1351.8+1247
1324,J13526+144,G 150-046
1325,J13528+656,LP 066-278
1326,J13528+668,LP 066-274
1327,J13529+536,LP 097-259
1328,J13534+129,BD+13 2721
1329,J13536+776,RX J1353.6+7737
1330,J13537+521,2M J13534589+5210298AB
1331,J13537+788,LTT 18361
1332,J13582+125,Ross 837
1333,J13582-120,LP 739-002
1334,J13583-132,LP 739-003
1335,J13587-000,LP 619-009
1336,J13591-198,LP 799-007
1337,J14010-026,HD 122303
1338,J14019+154,GJ 536.1
1339,J14019+432,2M J14015879+4316427
1340,J14023+136,MCC 150
1341,J14024-210,LP 799-014
1342,J14025+463N,BD+47 2112A
1343,J14025+463S,BD+47 2112B
1344,J14039+242,LSPM J1403+2440
1345,J14041+207,BD+21 2602C
1346,J14062+693,NLTT 36313
1347,J14082+805,BD+81 465
1348,J14083+758,G 255-049
1349,J14121-005,LP 619-049
1350,J14130-120,GQ Vir
1351,J14142-153,LTT 5581
1352,J14144+234,LP 381-017
1353,J14152+450,Ross 992
1354,J14153+153,TYC 1469-782
1355,J14155+046,GJ 1182
1356,J14157+594,LP 097-674
1357,J14159+362,G 165-058
1358,J14161+233,NLTT 36793
1359,J14170+105,LP 499-059
1360,J14170+317,LP 325-015 AB
1361,J14171+088,2M J14170731+0851363
1362,J14173+454,RX J1417.3+4525
1363,J14174+454,BD+46 1951
1364,J14175+025,RX J1417.5+0233
1365,J14177+214,LP 381-094
1366,J14179-005,G 064-063
1367,J14189+386,LP 220-078
1368,J14191-073,Wolf 534
1369,J14194+029,NLTT 36959
1370,J14200+390,StKM 1- 1145
1371,J14201-096,Ross 848
1372,J14210+275,G 166-021
1373,J14212-011,LP 620-003
1374,J14215-079,2M J14213406-0755165
1375,J14219+376,LP 270-068
1376,J14227+164,NLTT 37131
1377,J14231-222,LP 857-029
1378,J14249+088,LP 500-019
1379,J14251+518,tet Boo B
1380,J14255-118,2M J14253413-1148515
1381,J14257+236E,BD+24 2733B
1382,J14257+236W,BD+24 2733A
1383,J14259+142,StKM 1-1155
1384,J14269+241,LSPM J1426+2408
1385,J14279-003N,GJ 1183B
1386,J14279-003S,GJ 1183A
1387,J14280+139,LP 500-035
1388,J14282+053,LP 560-026
1389,J14283+053,LP 560-027
1390,J14294+155,Ross 130
1391,J14299+295,G 166-033
1392,J14306+597,LP 098-079
1393,J14307-086,BD-07 3856
1394,J14310-122,Wolf 1478
1395,J14312+754,2M J14311348+7526423
1396,J14320+738,G 255-055
1397,J14321+081,LP 560-035
1398,J14321+160,LP 440-038
1399,J14322+496,LP 174-355
1400,J14331+610,G 224-013
1401,J14342-125,HN Lib
1402,J14366+143,StKM 1-1170
1403,J14368+583,LP 098-132
1404,J14371+756,LSPM J1437+7536N
1405,J14376+677,G 239-022
1406,J14388+422,GPM219.718548+42.229288
1407,J14415+064,LP 560-066
1408,J14423+660,G 239-025
1409,J14438+667,NLTT 38291
1410,J14469+170,Ross 994
1411,J14472+570,RX J1447.2+5701
1412,J14485+101,G 066-027
1413,J14501+323,LP 326-034
1414,J14511+311,LP 326-038
1415,J14524+123,G 066-037
1416,J14525+001,G 066-036
1417,J14538+235,Ross 52
1418,J14544+161,CE Boo A
1419,J14544+355,Ross 1041
1420,J14548+099,Ross 1028b
1421,J14549+411,LP 222-015
1422,J14557+072,G 066-042
1423,J14564+168,G 136-035
1424,J14574-214,KX Lib BC
1425,J14575+313,Ross 53 AB
1426,J14578+566,GJ 1187
1427,J15009+454,BD+45 2247
1428,J15011+071,Ross 1030a
1429,J15011+354,Ross 1042
1430,J15013+055,G 015-002
1431,J15018+550,LP 135-097
1432,J15030+704,LP 041-431
1433,J15043+294,GJ 575.1
1434,J15043+603,Ross 1051
1435,J15049-211,LP 801-053
1436,J15060+453,HAT 147-00476
1437,J15073+249,BD+25 2874
1438,J15079+762,LSPM J1507+7613
1439,J15081+623,LSPM J1508+6221
1440,J15095+031,Ross 1047
1441,J15100+193,G 136-072
1442,J15118-102,G 151-034
1443,J15119+179,LP 442-017
1444,J15126+457,G 179-020
1445,J15147+645,G 224-057
1446,J15151+333,LP 272-063
1447,J15156+638,2M J15153756+6349528
1448,J15166+391,LP 222-065
1449,J15188+292,StKM 1-1229
1450,J15191-127,LP 742-061
1451,J15193+678,LP 068-073
1452,J15194-077,HO Lib
1453,J15197+046,2M J15194584+0439344
1454,J15210+309,2M J15210067+3057012
1455,J15214+042,TYC 344-504-1
1456,J15218+209,OT Ser
1457,J15219+185,LP 442-037
1458,J15238+174,Ross 508
1459,J15238+561,StKM 1-1240
1460,J15238+584,G 224-065
1461,J15273+415,TYC 3055-1525-1
1462,J15276+408,G 179-029
1463,J15280+257,GJ 587.1
1464,J15290+467,RX J1529.0+4646 AB
1465,J15297+428,G 179-033
1466,J15305+094,NLTT 40406
1467,J15319+288,G 167-047
1468,J15336+462,LP 176-055
1469,J15339+379,GJ 588.1
1470,J15340+513,LP 135-414
1471,J15345+142,Ross 512
1472,J15349-143,2MUCD 11346
1473,J15353+177N,Ross 513B
1474,J15353+177S,Ross 513A
1475,J15357+221,LP 384-018
1476,J15368+375,BK CrB
1477,J15369-141,Ross 802
1478,J15386+371,G 179-042
1479,J15400+434N,vB 24 A
1480,J15400+434S,vB 24 B
1481,J15412+759,UU UMi
1482,J15416+184,StKM 1-1264
1483,J15421-194,GJ 595 AB
1484,J15474+451,LP 177-102 AB
1485,J15474-108,LP 743-031
1486,J15476+226,LSPM J1547+2241
1487,J15480+043,RX J1548.0+0421
1488,J15488+305,2M J15484846+3030388
1489,J15493+250,G 168-013
1490,J15496+348,LP 274-008
1491,J15496+510,G 202-016
1492,J15499+796,LP 022-420
1493,J15501+009,Wolf 587
1494,J15512+306,TYC 2572-633-1
1495,J15513+295,G 168-014
1496,J15531+347N,Ross 806
1497,J15531+347S,LP 274-021
1498,J15538+641,NLTT 41533
1499,J15555+352,G 180-011 AB
1500,J15557+686,RX J1555.7+6840
1501,J15569+376,RX J1556.9+3738
1502,J15578+090,LSPM J1557+0901
1503,J15581+494,V1022 Her
1504,J15583+354,G 180-018
1505,J15587+346,StM 258
1506,J15597+440,RX J1559.7+4403
1507,J15598-082,BD-07 4156
1508,J16008+403,G 180-021
1509,J16017+301,G 168-024
1510,J16017+304,LP 329-019
1511,J16018+304,LP 329-020
1512,J16028+205,GJ 609
1513,J16033+175,2M J16032066+1735546
1514,J16043-062,LP 684-017
1515,J16046+263,BPM 91242
1516,J16048+391,G 180-027
1517,J16054+769,G 256-030
1518,J16062+290,LP 329-030
1519,J16066+083,GJ 611.3 AB
1520,J16074+059,G 016-030
1521,J16082-104,G 153-027
1522,J16090+529,MCC 759
1523,J16092+093,G 137-084
1524,J16102-193,K2-33
1525,J16120+033,TYC 371-1053-1
1526,J16139+337,sig CrB Cab
1527,J16144-028,LP 624-054
1528,J16145+191,GJ 1200
1529,J16147+048,G 017-007
1530,J16155+244,LP 385-058
1531,J16167+672N,EW Dra
1532,J16167+672S,HD 147379
1533,J16170+552,CR Dra AB
1534,J16180+062,EXO 161538+0624.2
1535,J16204-042,LP 685-051
1536,J16220+228,BPS BS 16542-0001
1537,J16241+483,GJ 623 AB
1538,J16247+229,BPM 91545
1539,J16254+543,GJ 625
1540,J16255+260,LTT 14889
1541,J16255+323,LP 330-013
1542,J16259+834,TYC 4647-2406-1
1543,J16268-173,LP 805-010
1544,J16280+155,G 138-033
1545,J16302-146,LP 745-051
1546,J16303-126,V2306 Oph
1547,J16313+408,G 180-060
1548,J16315+175,GJ 1202
1549,J16327+126,GJ 1203
1550,J16328+098,G 138-040
1551,J16342+543,LP 137-037
1552,J16343+571,CM Dra Aab
1553,J16354+350,LP 275-068
1554,J16360+088,G 138-043
1555,J16395+505,G 202-068
1556,J16401+007,LP 625-034
1557,J16403+676,LP 069-457
1558,J16408+363,Ross 812
1559,J16420+192,2M J16420074+1916104
1560,J16462+164,LP 446-006
1561,J16465+345,LP 276-022
1562,J16487+106,LSPM J1648+1038
1563,J16487-157,LP 806-008
1564,J16508-048,[RHG95] 2653
1565,J16509+224,G 169-029
1566,J16528+630,GSC 04194-01561
1567,J16529+400,G 203-033
1568,J16542+119,Ross 644
1569,J16554-083N,GJ 643
1570,J16554-083S,V1054 Oph ABab
1571,J16555-083,vB 8
1572,J16570-043,LP 686-027
1573,J16573+124,LP 506-037
1574,J16573+271,2M J16572235+2708304
1575,J16574+777,G 259-005
1576,J16577+132,GJ 647
1577,J16578+473,BD+47 2415B
1578,J16581+257,BD+25 3173
1579,J16584+139,G 139-003
1580,J16587+688,LP 043-338
1581,J16591+209,RX J1659.1+2058
1582,J17003+253,LP 587-031
1583,J17006+063,G 139-004
1584,J17010+082,G 139-005
1585,J17027-060,BD-05 4394
1586,J17033+514,G 203-042
1587,J17038+321,LP 331-057
1588,J17043+169,G 170-012
1589,J17052-050,Wolf 636
1590,J17058+260,LP 387-037
1591,J17071+215,Ross 863
1592,J17076+073,GJ 1210 AB
1593,J17082+516,G 203-044
1594,J17095+436,G 203-047 AB
1595,J17098+119,G 139-017
1596,J17104+279,StM 336
1597,J17115+384,Wolf 654
1598,J17118-018,LP 627-009
1599,J17121+456,HD 155876 AB
1600,J17136-084,V2367 Oph
1601,J17146+269,G 170-028
1602,J17153+049,GJ 1214
1603,J17158+190,BD+19 3268
1604,J17160+110,BD+11 3149
1605,J17166+080,GJ 2128
1606,J17177+116,GJ 1215
1607,J17177-118,LTT 6883
1608,J17183+181,LP 447-038
1609,J17183-017,MCC 791
1610,J17198+265,V639 Her
1611,J17198+417,GJ 671
1612,J17199+265,V647 Her
1613,J17207+492,G 203-063
1614,J17219+214,G 170-036
1615,J17225+055,2M J17223390+0531153
1616,J17242-043,LP 687-031
1617,J17276+144,GJ 1219
1618,J17285+374,Wolf 750
1619,J17303+055,BD+05 3409
1620,J17312+820,GJ 1220
1621,J17316+047,Wolf 755
1622,J17321+504,LP 180-017
1623,J17328+543,G 226-064
1624,J17338+169,1RXS J173353.5+165515
1625,J17340+446,2M J17340562+4447082
1626,J17355+616,BD+61 1678C
1627,J17364+683,BD+68 946 AB
1628,J17376+220,G 170-054
1629,J17378+185,BD+18 3421
1630,J17386+612,[RHG95] 2805
1631,J17388+080,G 139-050
1632,J17395+277N,LTT 15242
1633,J17395+277S,LP 332-045
1634,J17419+407,G 204-025
1635,J17421-088,Wolf 1471
1636,J17425-166,GJ 690.1
1637,J17430+057,G 140-009 AB
1638,J17431+854,G 259-020
1639,J17432-185,Ross 133
1640,J17439+433,GJ 694
1641,J17455+468,BD+46 2361
1642,J17460+246,LP 389-032
1643,J17464+277,mu Her BC
1644,J17464-087,Wolf 1473
1645,J17469+228,StKM 1-1528
1646,J17502+237,LP 389-021
1647,J17515+147,G 183-006
1648,J17521+647,G 227-020
1649,J17530+169,G 183-010
1650,J17542+073,GJ 1222
1651,J17547+128,LSPM J1754+1251
1652,J17570+157,LP 449-006 AB
1653,J17572+707,LP 044-162
1654,J17578+046,Barnards Star
1655,J17578+465,G 204-039
1656,J17589+807,LP 024-152
1657,J18010+508,Wolf 1403
1658,J18022+642,LP 071-082
1659,J18027+375,GJ 1223
1660,J18031+179,G 183-019
1661,J18037+247,Ross 820
1662,J18042+359,BD+35 3145
1663,J18051-030,HD 165222
1664,J18063+728,NLTT 46021
1665,J18074+184,Wolf 806
1666,J18075-159,GJ 1224
1667,J18096+318,LP 334-011
1668,J18103+512,Wolf 1412
1669,J18109+220,StKM 1-1582
1670,J18116+061,NLTT 46076
1671,J18131+260,LP 390-016
1672,J18134+054,LP 569-015 A
1673,J18135+055,NLTT 46124
1674,J18157+189,HD 348274
1675,J18160+139,BD+13 3578
1676,J18163+015,GJ 708.3
1677,J18165+048,G 140-051
1678,J18165+455,BD+45 2688
1679,J18174+483,TYC 3529-1437-1
1680,J18180+387E,G 204-058
1681,J18180+387W,G 204-057
1682,J18189+661,LP 071-165
1683,J18193-057,LP 689-001
1684,J18195+420,HAT 153-01130
1685,J18198-019,HD 168442
1686,J18209-010,GJ 1226
1687,J18221+063,Ross 136
1688,J18224+620,GJ 1227
1689,J18227+379,G 205-019
1690,J18234+281,Ross 708
1691,J18240+016,G 021-013
1692,J18248+282,Ross 710
1693,J18250+246,HD 336196
1694,J18255+383,G 205-020
1695,J18264+113,G 141-010
1696,J18292+638,TYC 4222-2195-1
1697,J18296+338,2M J18294012+3350130
1698,J18312+068,LP 570-092
1699,J18319+406,G 205-028
1700,J18346+401,LP 229-017
1701,J18352+243,G 184-013
1702,J18352+414,G 205-029
1703,J18353+457,BD+45 2743
1704,J18354+457,GJ 720 B (vB 9)
1705,J18356+329,LSR J1835+3259
1706,J18358+800,LP 025-002
1707,J18362+567,G 227-039
1708,J18363+136,Ross 149
1709,J18387+047,LP 570-022
1710,J18387-144,GJ 2138
1711,J18394+690,RX J1839.4+6903
1712,J18395+298,LP 335-012
1713,J18395+301,LP 335-013
1714,J18399+334,G 206-037
1715,J18400+726,LP 044-334
1716,J18402-104,Ross 719
1717,J18405+595,G 227-043
1718,J18409+315,BD+31 3330B
1719,J18409-133,BD-13 5069
1720,J18411+247N,GJ 1230 B
