,#Karmn,Name
268,J02562+239,LSPM J0256+2359
269,J02565+554E,Ross 365
270,J02565+554W,Ross 364
271,J02575+107,Ross 791
272,J02581-128,LP 711-032
273,J02591+366,Ross 331
274,J02592+317,LP 298-052
275,J02597+389,G 134-063
276,J03018-165N,LP 771-095
277,J03018-165S,LP 771-096
278,J03026-181,GJ 121.1
279,J03033-080,StM 20
280,J03036-128,LP 711-043
281,J03037-128,LP 711-044
282,J03040-203,LP 771-077
283,J03047+617,G 246-022
284,J03075-039,LP 652-005 AB
285,J03077+249,LP 355-027
286,J03090+100,GJ 1055
287,J03095+457,GJ 125 AB
288,J03102+059,EK Cet
289,J03104+584,G 246-026
290,J03109+737,GJ 1053
291,J03110-046,LP 652-062
292,J03112+011,1RXS J031114.2+010655
293,J03118+196,Wolf 132
294,J03119+615,BD+60 637
295,J03133+047,CD Cet
296,J03136+653,TYC 4057-285-1
297,J03142+286,LP 299-036
298,J03145+594,Ross 369
299,J03147+114,RX J0314.7+1127
300,J03147+485,Ross 346
301,J03162+581N,Ross 370 B
302,J03162+581S,Ross 370 A
303,J03167+389,HAT 168-01565
304,J03172+453,G 078-028 AB
305,J03177+252,LP 355-051
306,J03181+382,HD 275122
307,J03181+426,Wolf 140
308,J03185+103,StKM 1-354
309,J03186+326,LP 299-053
310,J03187+606,Ross 371
311,J03194+619,G 246-033
312,J03207+397,LP 198-637
313,J03213+799,GJ 133
314,J03217-066,G 077-046
315,J03220+029,GJ 1058
316,J03224+271,LP 355-064
317,J03230+420,GJ 1059
318,J03233+116,G 005-032
319,J03236+056,1RXS J032338.7+054117
320,J03241+237,GJ 140 AB
321,J03242+237,GJ 140C
322,J03247+447,2M J03244244+4447417
323,J03257+058,LP 532-081
324,J03263+171,TYC 1237-889-1
325,J03267+192,G 006-007
326,J03272+273,CK Ari
327,J03275+222,J0327+2212
328,J03284+352,LSPM J0328+3515
329,J03286-156,LP 772-072 A
330,J03288+264,LP 356-106
331,J03303+346,2M J03302331+3440325
332,J03308+542,LSPM J0330+5413
333,J03309+706,LP 031-368
334,J03317+143,GJ 143.3
335,J03325+287,RX J0332.6+2843
336,J03332+462,BD+45 784B
337,J03340+585,Ross 563
338,J03346-048,LP 653-008
339,J03361+313,[GBM90] Per 49
340,J03366+034,[R78b] 233
341,J03372+691,LP 054-019AB
